City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Tutoia,BR,-2.7619,-42.2744,80.31,79,95,13.49,overcast clouds
171,Vanimo,PG,-2.6741,141.3028,77.92,86,28,4.81,scattered clouds
172,Vila Velha,BR,-20.3297,-40.2925,71.55,68,75,13.8,broken clouds
173,Westport,US,41.1415,-73.3579,88.95,44,10,5.99,clear sky
174,Hualmay,PE,-11.0964,-77.6139,64.54,78,21,9.95,few clouds
175,Port Elizabeth,ZA,-33.918,25.5701,53.98,74,10,14.99,clear sky
176,Kozan,TR,37.4552,35.8157,76.69,61,0,0.16,clear sky
177,Snezhnogorsk,RU,69.1933,33.2531,51.58,96,98,11.72,overcast clouds
178,Xai-Xai,MZ,-25.0519,33.6442,62.6,68,0,8.21,clear sky
179,Bengkulu,ID,-3.8004,102.2655,76.71,86,100,4.47,overcast clouds
180,Pindiga,NG,9.9833,10.9333,69.53,91,100,5.46,overcast clouds
181,Casablanca,MA,33.5928,-7.6192,79.02,78,0,5.99,clear sky
182,Cherskiy,RU,68.75,161.3,60.08,47,100,19.93,overcast clouds
183,Kodiak,US,57.79,-152.4072,55.31,95,100,7.38,light rain
184,Adre,TD,13.4667,22.2,75.6,75,93,6.55,light rain
185,Salalah,OM,17.0151,54.0924,75.45,91,68,6.51,broken clouds
186,Port Blair,IN,11.6667,92.75,81.46,83,100,8.99,overcast clouds
187,Ontario,US,34.0633,-117.6509,98.85,40,40,16.11,scattered clouds
188,Stornoway,GB,58.2093,-6.3865,52.93,84,75,2.3,broken clouds
189,Amga,RU,60.8953,131.9608,66.76,94,100,3.65,overcast clouds
190,Aitape,PG,-3.1374,142.3475,78.46,80,32,4.0,scattered clouds
191,Mao,ES,39.8885,4.2658,79.36,69,0,4.61,clear sky
192,Treuchtlingen,DE,48.95,10.9167,63.37,78,55,1.25,broken clouds
193,Nanortalik,GL,60.1432,-45.2371,44.73,90,49,7.99,scattered clouds
194,Castro,BR,-24.7911,-50.0119,50.23,64,3,3.83,clear sky
195,Coquimbo,CL,-29.9533,-71.3436,56.93,76,100,6.91,overcast clouds
196,Ostrovnoy,RU,68.0531,39.5131,57.4,91,66,7.94,broken clouds
197,Meulaboh,ID,4.1363,96.1285,75.83,91,77,3.24,broken clouds
198,Milkovo,RU,54.7167,158.6167,52.32,95,100,6.4,light rain
199,Paamiut,GL,61.994,-49.6678,42.42,95,71,11.74,broken clouds
200,Tuy Hoa,VN,13.0833,109.3,78.49,86,100,6.51,overcast clouds
201,Tarko-Sale,RU,64.9225,77.785,51.12,65,0,16.4,clear sky
202,Pandan,PH,14.0453,124.1694,80.08,84,100,7.72,overcast clouds
203,Luwingu,ZM,-10.2621,29.9271,57.56,50,4,2.53,clear sky
204,Broken Hill,AU,-31.95,141.4333,52.48,46,100,12.66,overcast clouds
205,Airai,TL,-8.9266,125.4092,58.1,94,67,3.98,broken clouds
206,Yulara,AU,-25.2406,130.9889,58.8,30,100,6.33,overcast clouds
207,Nome,US,64.5011,-165.4064,62.17,47,100,6.91,overcast clouds
208,Jinchang,CN,38.4953,102.1739,74.98,43,100,2.75,overcast clouds
209,Belaya Gora,RU,68.5333,146.4167,61.7,68,0,3.33,clear sky
210,Payo,ID,-3.7508,103.6372,72.36,94,97,1.68,overcast clouds
211,Mapastepec,MX,15.4333,-92.9,83.97,81,69,2.75,broken clouds
212,Ancud,CL,-41.8697,-73.8203,45.23,79,99,2.01,overcast clouds
213,Preston,GB,53.7667,-2.7167,65.32,98,100,3.98,light rain
214,Tebingtinggi,ID,3.3285,99.1625,74.52,95,93,2.98,overcast clouds
215,Aksha,RU,50.2814,113.2867,57.34,85,5,2.28,clear sky
216,Porto-Vecchio,FR,41.591,9.2795,78.33,73,0,3.44,clear sky
217,Beyneu,KZ,45.3167,55.2,81.77,49,31,3.31,scattered clouds
218,Rusape,ZW,-18.5278,32.1284,51.66,36,2,5.99,clear sky
219,Illapel,CL,-31.6308,-71.1653,55.2,87,97,3.78,overcast clouds
220,Lyubytino,RU,58.8122,33.3922,53.56,91,24,2.57,few clouds
221,Moron,AR,-34.6534,-58.6198,62.49,60,29,4.92,scattered clouds
222,Mahibadhoo,MV,3.7833,72.9667,78.67,83,100,20.33,overcast clouds
223,Makokou,GA,0.5738,12.8642,70.3,81,1,4.9,clear sky
224,Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.19,69,75,9.22,broken clouds
225,Staryy Nadym,RU,65.6118,72.6842,47.8,76,1,11.72,clear sky
226,Okhotsk,RU,59.3833,143.3,58.75,88,99,13.73,overcast clouds
227,Bathsheba,BB,13.2167,-59.5167,83.05,90,75,19.57,broken clouds
228,Saint Anthony,US,45.0205,-93.218,89.29,45,25,4.0,scattered clouds
229,Ahipara,NZ,-35.1667,173.1667,54.0,60,64,19.33,broken clouds
230,Batsfjord,NO,70.6345,29.7185,49.93,100,100,14.97,light intensity drizzle
231,Nantucket,US,41.2835,-70.0995,84.31,70,1,20.11,clear sky
232,Geraldton,AU,-28.7667,114.6,50.41,87,40,9.22,scattered clouds
233,Miri,MY,4.4148,114.0089,75.34,94,20,3.44,few clouds
