City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Mananjary,MG,65.19,few clouds,-21.2167,48.3333,Vahiny Lodge
532,Kijang,KR,77.63,overcast clouds,35.2442,129.2139,Samyang Beach Villa
533,Hauterive,FR,68.76,clear sky,46.0901,3.4459,Aletti Palace Hotel
534,Levokumka,RU,77.25,scattered clouds,44.2317,43.15,Euro Hotel
535,Maoming,CN,78.98,overcast clouds,21.65,110.9,Jinhui Hotel
537,Belmonte,BR,74.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
540,Sao Miguel Do Araguaia,BR,78.8,clear sky,-13.275,-50.1628,Hotel Executivo Palace
543,Pathardi,IN,76.17,overcast clouds,19.1667,75.1833,श्रुतिमाऊली वेद पाठशाळा
545,Surgut,RU,69.98,clear sky,61.25,73.4167,Business Hotel
546,Praia Da Vitoria,PT,74.75,few clouds,38.7333,-27.0667,Hotel Branco I
547,Susurluk,TR,73.89,clear sky,39.9136,28.1578,Çağan Pansiyon
548,Taltal,CL,57.78,overcast clouds,-25.4,-70.4833,Residencial Karime
549,Saint-Pierre,RE,71.19,few clouds,-21.3393,55.4781,Alize Plage
551,Beian,NO,57.0,clear sky,63.6559,9.5683,"Fjord-Fishing AS, Property & Housing Co."
552,San Cristobal,VE,78.24,broken clouds,7.7669,-72.225,Pirineos
553,Atbasar,KZ,63.03,overcast clouds,51.8,68.3333,Astana Marriott Hotel
554,Kuandian,CN,73.33,scattered clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
558,Isla Mujeres,MX,78.85,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
559,Charagua,BO,71.17,clear sky,-19.8,-63.2167,Hotel
560,Kargil,IN,56.61,scattered clouds,34.5667,76.1,Hotel Caravan Sarai Kargil
561,Wanning,CN,79.83,few clouds,18.8003,110.3967,Paradise Hotel
562,Serafimovich,RU,64.62,overcast clouds,49.5786,42.736,Donskiye Prostory
